Sujeto Obligado;Registrados ;Año
Abogados;106;2018
Abogados notarios;63;2018
Agentes inmobiliarios;121;2018
Bancas de loteria o apuestas;40;2018
Casino de juego;37;2018
Comerciantes de joyas;24;2018
Compañia de seguros;35;2018
Compra y venta de armas de fuego;5;2018
Compra y venta de barcos y aviones;1;2018
Compra y venta de vehiculo de motor;235;2018
Concesionarios de loteria y juegos de azar;1;2018
Contadores;37;2018
Cooperativas;100;2018
Corredores de seguros;542;2018
Deposito centralizado de valores;1;2018
Emisores de valores;1;2018
Empresa de factoraje;3;2018
Empresas constructoras;217;2018
Entidades de intermediacion financiera;68;2018
Intermediacion cambiaria;33;2018
Intermediarios de valores;5;2018
Juegos de azar;3;2018
Personas o entidades fiduciarias;13;2018
Puestos de bolsas;15;2018
Sociedades administradoras de fondos de inversion;11;2018
Compañías de seguros;1;2019
Cooperativas ;25;2019
Corredores de seguros;423;2019
Emisores de valores ;1;2019
Entidades de intermediación financiera ;4;2019
Personas o entidades Fiduciarias;1;2019
Puestos de bolsa e intermediarios de valores;1;2019
Abogados;20;2019
Abogados Notarios;7;2019
Agentes inmobiliarios;24;2019
Bancas de lotería o apuestas;8;2019
Casino de juego;3;2019
Comerciante Joyas;2;2019
Compra y venta de vehículo de motor;33;2019
Contadores;9;2019
Corredores de seguros;1;2019
Empresas constructoras;56;2019
Empresas de factoraje;2;2019
Juego de azar;1;2019
Otros profesionales jurídicos;1;2019
Abogados;17;2020
Abogados Notarios;7;2020
Agentes inmobiliarios;57;2020
Bancas de lotería o apuestas;6;2020
Casino de juego;3;2020
Comerciante Joyas;2;2020
Compañías de seguros;6;2020
Compra y venta de vehículo de motor;24;2020
Compra y ventas de armas de fuego;1;2020
Contadores;9;2020
Cooperativas ;11;2020
Corredores de seguros;175;2020
Empresas constructoras;51;2020
Empresas de factoraje;3;2020
Entidades de intermediación financiera ;1;2020
Intermediación cambiaria;1;2020
Juego de azar;1;2020
Otros profesionales jurídicos;4;2020
Personas o entidades Fiduciarias;3;2020
Puestos de bolsa e intermediarios de valores;1;2020
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
